"";"n";"lambda";"p";"df";"method";"cov_2norm"
"450";1000;37;3;10;"SPCA";0,0652507708180042
"451";1000;38;3;3;"PCA";0,485094266949555
"452";1000;38;3;3;"SPCA";0,0604337296916479
"453";1000;38;3;5;"PCA";0,0786685829814544
"454";1000;38;3;5;"SPCA";0,0638274320518333
"455";1000;38;3;10;"PCA";0,0373593881953236
"456";1000;38;3;10;"SPCA";0,0595643187791605
"457";1000;39;3;3;"PCA";0,920937315232033
"458";1000;39;3;3;"SPCA";0,0634359057277228
"459";1000;39;3;5;"PCA";0,0776323994229861
"460";1000;39;3;5;"SPCA";0,0646277793633836
"461";1000;39;3;10;"PCA";0,0393782552027656
"462";1000;39;3;10;"SPCA";0,0574619210759536
"463";1000;40;3;3;"PCA";0,385889728594367
"464";1000;40;3;3;"SPCA";0,0624161813998298
"465";1000;40;3;5;"PCA";0,0724751830544994
"466";1000;40;3;5;"SPCA";0,0596014021919671
"467";1000;40;3;10;"PCA";0,0361342164094053
"468";1000;40;3;10;"SPCA";0,0618073804480411
"469";10000;2;3;3;"PCA";122,366818162483
"470";10000;2;3;3;"SPCA";3,63456838160596
"471";10000;2;3;5;"PCA";5,84778527989731
"472";10000;2;3;5;"SPCA";3,50179692960299
"473";10000;2;3;10;"PCA";2,89079365386707
"474";10000;2;3;10;"SPCA";3,5286521554525
"475";10000;3;3;3;"PCA";40,5430799700044
"476";10000;3;3;3;"SPCA";1,41052052975815
"477";10000;3;3;5;"PCA";3,08374180516868
"478";10000;3;3;5;"SPCA";1,33697583104214
"479";10000;3;3;10;"PCA";1,02300941480009
"480";10000;3;3;10;"SPCA";1,39406208535976
"481";10000;4;3;3;"PCA";23,3938983869068
"482";10000;4;3;3;"SPCA";0,816758188170848
"483";10000;4;3;5;"PCA";1,35285081859093
"484";10000;4;3;5;"SPCA";0,785053659592668
"485";10000;4;3;10;"PCA";0,574793254766057
"486";10000;4;3;10;"SPCA";0,810385706465461
"487";10000;5;3;3;"PCA";14,5597303543252
"488";10000;5;3;3;"SPCA";0,577664813431696
"489";10000;5;3;5;"PCA";0,930028128166026
"490";10000;5;3;5;"SPCA";0,586519037566425
"491";10000;5;3;10;"PCA";0,418900632738056
"492";10000;5;3;10;"SPCA";0,586056774940294
"493";10000;6;3;3;"PCA";12,4922518958765
"494";10000;6;3;3;"SPCA";0,455165348080246
"495";10000;6;3;5;"PCA";0,780061656079323
"496";10000;6;3;5;"SPCA";0,454021478562044
"497";10000;6;3;10;"PCA";0,352675442629766
"498";10000;6;3;10;"SPCA";0,481121419091667
"499";10000;7;3;3;"PCA";9,85233590928942
"500";10000;7;3;3;"SPCA";0,391812548518723
"501";10000;7;3;5;"PCA";0,555593644548009
"502";10000;7;3;5;"SPCA";0,380467037677649
"503";10000;7;3;10;"PCA";0,273101573679392
